	cl	ACO1.output_1	AFF4.output_1	ANXA11.output_1	ARNTL.output_1	Arnt..Ahr	BAT4.output_1	BATF..JUN	BOLL.output_1	BRCA1	Bcd_Cell_FBgn0000166	Bcl6	Bsh_Cell_FBgn0000529	C15_SOLEXA_FBgn0004863	C2orf52.output_1	CAT.output_1	CBFA2T2.output_1	CENTG1.output_1	CG13424_SOLEXA_FBgn0034520	CG7928_SANGER_10_FBgn0039740	CKMT1B.output_1	CNOT6.output_1	COBRA1.output_1	CREB1.output_1	CSTF2.output_1	CTCF	DIS3.output_1	DNMT3A.output_1	DTL.output_1	E2F6	E5_Cell_FBgn0008646	EBF1	EBF1.output_1	ECSIT.output_1	EGR1	EGR2	ELF2.output_1	ELK4	ESR1	ETFB.output_1	ETS1	ETS1.output_1	ETV4.output_1	EWSR1.FLI1	Eip74EF_FlyReg_FBgn0000567	En1	Erg	Ets1	Exex_SOLEXA_FBgn0041156	FAM127B.output_1	FIP1L1.output_1	FLI1	FLI1.output_1	FOXD1	FOXO3	FOXP4.output_1	Fer1_SANGER_5_FBgn0037475	GABPA	GATA2	GATA3	GIT2.output_1	GLYCTK.output_1	GOT1.output_1	GRHL1.output_1	GTF2B.output_1	GTF2H3.output_1	GTF3C2.output_1	GTF3C5.output_1	GTPBP1.output_1	GTPBP6.output_1	H1FX.output_1	H2AFZ.output_1	HHAT.output_1	HIF1A..ARNT	HIST1H2BN.output_1	HIST2H2AB.output_1	HIST2H2BE.output_1	HLH54F_da_SANGER_5_FBgn0022740	HTATIP2.output_1	Hand1..Tcfe2a	Hoxc9	Hr46_SANGER_5_FBgn0000448	IRF1	IRF1.output_1	Inv_Cell_FBgn0001269	LARP1.output_1	LAS1L.output_1	Lbe_SOLEXA_FBgn0011278	Lbl_Cell_FBgn0008651	MBTPS2.output_1	MCTP2.output_1	MDM2.output_1	MEF2A	MLX.output_1	MORG1.output_1	MTHFD1.output_1	Mafb	Myb	NFATC2	NFATC3.output_1	NFATC4.output_1	NFE2L2	NNT.output_1	NRF1	OTUD4.output_1	PCK2.output_1	PHTF1.output_1	PITX1.output_1	POLE3.output_1	PPP2R3B.output_1	PRDM1	PRNP.output_1	PTCD1.output_1	PTPMT1.output_1	RAB14.output_1	RAB2A.output_1	RARA.output_1	RBM3.output_1	RBM35A.output_1	REST	RIOK2.output_1	RNASEH2C.output_1	RORA_2	SCAND2.output_1	SCMH1.output_1	SEMA4A.output_1	SFT2D1.output_1	SLC18A1.output_1	SMAP1L.output_1	SMPX.output_1	SOX10	SOX13.output_1	SPAG7.output_1	SPI1	SREBF1	SRF	STAT1	STAT2..STAT1	STAT3	STAU2.output_1	STUB1.output_1	SUCLG1.output_1	Sox15_SANGER_5_FBgn0005613	Spi1	T	TAF1A.output_1	TAF9.output_1	TAGLN2.output_1	TAL1..GATA1	TAL1..TCF3	TBP	TBPL1.output_1	TCEAL2.output_1	TCEAL6.output_1	TCF3.output_1	TCF7L2	TEAD1	TEAD1.output_1	TFAM.output_1	TFAP2A	TFAP2A.output_1	TFAP2C	TFAP2C.output_1	TFE3.output_1	TFEB.output_1	TGIF1.output_1	TGIF2LX.output_1	THAP1	THAP5.output_1	THRA.output_1	THRAP6.output_1	TIA1.output_1	TIMELESS.output_1	TIMM44.output_1	TIMM8A.output_1	TLX1..NFIC	TMSL3.output_1	TOB2.output_1	TP53	TP63	TP73.output_1	TPI1.output_1	TPPP.output_1	TRIM21.output_1	TRIM69.output_1	TRIP10.output_1	TRMT1.output_1	TROVE2.output_1	TSC22D4.output_1	TSN.output_1	TSNAX.output_1	TULP1.output_1	Tal1..Gata1	Tcf12	Tcf3	Tcfcp2l1	Trl_FlyReg_FBgn0013263	Tup_SOLEXA_FBgn0003896	UBE2V1.output_1	UTP18.output_1	Ubx_Cell_FBgn0003944	Vis_SOLEXA_FBgn0033748	WISP2.output_1	XRCC1.output_1	YEATS4.output_1	YY1	ZBTB12.output_1	ZBTB25.output_1	ZBTB33	ZBTB4.output_1	ZBTB46.output_1	ZMAT2.output_1	ZMAT4.output_1	ZNF160.output_1	ZNF192.output_1	ZNF385.output_1	ZNF695.output_1	ZNF720.output_1	ZNF76.output_1	ZSWIM1.output_1	Zfx	ase_da_SANGER_10_FBgn0000137	brZ2_FlyReg_FBgn0000210	btd_NAR_FBgn0000233	byn_FlyReg_FBgn0011723	cwo_SANGER_5_FBgn0259938	dTCF	dl_NBT_FBgn0000462	dsf_SANGER_5_FBgn0015381	eg_SANGER_5_FBgn0000560	h_SANGER_5_FBgn0001168	her_SOLEXA_10_FBgn0001185	klu_SANGER_10_FBgn0013469	prd_SOLEXA_5_FBgn0003145	run_Bgb_NBT_FBgn0003300	sens_SOLEXA_5_FBgn0002573	tgo_ss_SANGER_5_FBgn0015014	toy_FlyReg_FBgn0019650	wor_SOLEXA_2_5_FBgn0001983	peaks_ets1.bed	peaks_heb.bed	peaks_ikzf1.bed	peaks_p5424_H3K4me2.bed	peaks_p5424_Pol2.bed	peaks_runx1.bed	peaks_tcf7.bed
mm9_chr10_111015729_111015912_+	1	0	0	0.0184521896699568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166434835549764	0.0180863602184234	0	0	0.0347341527966266	0	0.016669999963689	0.01823629600174	0	0	0.0167239385102808	0	0.0181852576069086	0	0	0.019097541102077	0	0.0196833879307539	0.016835638839475	0	0	0	0	0	0.0380709210673065	0.0365733991767142	0	0	0	0.038020865603739	0	0.0169230055355631	0	0.0184521896699568	0	0.0171730464675887	0.0168072170160553	0.0240925431310027	0	0	0	0.017044734468411	0	0	0.0188848740745887	0	0	0.0607565878669007	0	0.0176057308722205	0	0	0	0	0	0	0	0	0	0.020334679776214	0.0165656669477927	0	0	0	0.0165151715557986	0	0.0165402849530071	0.0165151715557986	0	0	0	0	0	0	0	0	0.0174525684481755	0	0	0	0	0	0	0	0	0	0	0.0181352937848329	0.0247956393557434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190245139897383	0	0	0	0	0	0	0.0171403122397789	0	0	0.0165151715557986	0	0	0	0.0186280622566858	0	0	0.0170761679596082	0	0	0	0.0355389286665989	0.0166434835549764	0	0	0.0763535482490264	0	0	0.0165151715557986	0	0	0	0	0.0185679781894647	0	0	0	0	0	0	0.0197802664387344	0	0	0	0	0	0	0	0	0	0	0.0383780965172783	0	0	0	0	0	0	0	0	0.035580149538894	0	0.017900131860105	0	0	0.0212352822278315	0.0195007444581476	0	0.0172062385315898	0	0.0169230055355631	0.0168072170160553	0	0	0	0	0	0.0176456174227205	0	0.0169830896027843	0	0	0	0	0	0	0.0179453369200284	0	0.0186897071223125	0	0	0	0	0	0	0	0.0747428888794538	0	0.0655049584609291	0	0	0	0	0.0182884562088779	0	0	0	0	0	4.213114754	1.06010929	6.005464481	12.67759563	16.484	13.74	5.528333334
mm9_chr10_117502197_117502350_+	1	0	0.0234315467452888	0	0	0	0	0	0.0203497338224021	0	0	0.0276900131139677	0	0	0	0.0413709421367704	0	0.0249928675878714	0	0	0	0	0.0256262663657018	0	0.0200031421397476	0.0216327053592908	0.0876965791995189	0	0	0.020702556126103	0	0	0	0.0203131071719576	0	0	0	0.0775568999960489	0	0	0	0.0225877905598021	0	0	0.0501978399063384	0.0233244198420981	0.0738811660969377	0.0748799175379828	0	0.0208746406929158	0	0.0773401133081231	0.0251887056491618	0	0	0.0289660018034837	0.0200691573482726	0.0737082750161189	0.0216327053592908	0.0197237174311139	0	0	0	0	0	0.0196651890477615	0.0210109161110407	0	0.0200691573482726	0	0	0	0	0	0.0198445240042774	0.0196363712771402	0.0404524835867035	0	0	0	0	0	0	0	0	0.0198445240042774	0.0462431634261574	0	0	0	0.0200359578350094	0	0	0	0	0.019906911703011	0	0.0215191491758305	0.0544770076770427	0.0448601081821308	0.0448601081821308	0	0	0	0	0	0	0.0234315467452888	0	0	0	0	0	0.0201027497643014	0	0	0	0	0	0.022138667603139	0	0	0	0	0	0	0.0451755811196042	0	0	0	0	0.0198755464554177	0	0.0908176022028177	0.0206611170540049	0	0.0671812115864635	0.0216912337426432	0.0692769652178969	0	0	0	0	0.0324091981362208	0.0277393800282844	0	0	0	0.021750994392577	0	0	0	0	0.0215753594487842	0	0	0	0.0218120403158067	0.0462431634261574	0	0	0	0	0.0509499182238679	0	0	0.0206202742482728	0	0	0.021750994392577	0	0	0	0.0198445240042774	0	0	0	0.0422110848151354	0	0	0	0	0.0213048190229134	0	0	0	0	0	0	0	0.0225078267923707	0.0213048190229134	0.0220034741465386	0.0488986017001445	0.0299674944577071	0	0	0	0	0	0	0	0.0203868392661386	0	0	0	0.0219382178007439	0	0	0	0	0	0	0	0	0	0	0.0196943023904167	0	0	0.0256262663657018	0.0206202742482728	0	0	0	0.0458675082807871	0	0	0.0209193428140289	0	0	0	0.023779556627336	0	0	0	0	0.0451364601579048	0	5.928104575	3.620915033	2.790849673	2.705882353	24.866	16.28166667	5.042870813
mm9_chr10_117520205_117520358_+	1	0.0204625377795361	0.0436727886603741	0.020702556126103	0	0	0	0	0.0203497338224021	0	0	0	0	0.0223543555776679	0	0	0	0	0	0.0200359578350094	0	0	0	0.0216327053592908	0	0	0	0	0	0.0199707014892146	0	0	0	0	0.0215753594487842	0	0	0.0438299013457822	0	0	0.0425667985853394	0.0200691573482726	0.0212536730261033	0	0	0.021750994392577	0.0480820086504171	0.0632534686618698	0	0.0409773904572172	0.0454554053674075	0.0510693384595066	0	0	0.023779556627336	0.0228421570044451	0	0.0396329297979663	0	0	0	0	0	0	0	0	0	0.0236587500541725	0.0234315467452888	0	0	0.039860461925388	0	0	0	0	0	0	0	0	0	0.0216327053592908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201027497643014	0	0.0214099616365961	0	0	0	0	0.022138667603139	0	0.0230253512763421	0.0402054995286029	0	0	0	0	0	0	0	0	0.0222806234834869	0	0	0	0	0	0	0	0	0.0198755464554177	0	0	0.0211055424075677	0	0	0.0235428757603135	0	0.0203497338224021	0	0	0	0.0204625377795361	0	0	0	0	0	0	0	0	0	0	0	0	0.0206202742482728	0	0	0	0	0	0	0.0197237174311139	0	0	0	0	0	0.021750994392577	0	0	0	0.0198445240042774	0	0	0	0.0211055424075677	0	0	0	0	0.0200691573482726	0	0	0	0	0	0.0222087582266146	0	0	0	0	0	0	0	0	0	0.0205800107926858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234315467452888	0	0	0	0.0200031421397476	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021750994392577	0	0	0	0.0203497338224021	6.490196078	0.699346405	2.261437908	5.39869281	46.09132075	139.7571429	15.26166667
mm9_chr10_117520787_117521067_+	1	0.0266925689578499	0	0	0.0107615295204777	0	0	0	0.0369753099693011	0.0112455058974319	0	0	0	0	0.0249814981696294	0	0.0108436149023373	0.013656816931944	0	0.0107776027391444	0	0.0133740267674882	0.0140029241212585	0	0.0713121887585203	0	0	0.0117285594870186	0.0229034388652019	0	0	0.0107938442668255	0	0	0	0	0	0	0.0107298743050088	0.0137638284440063	0	0.0123426141273204	0	0.0116990147514258	0	0	0	0	0	0.0155590975839779	0	0	0.0107456211582411	0	0	0.0107938442668255	0.0229577669677113	0	0	0.0221130498723557	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0.0108950356905539	0	0.0108268466123074	0.0125817098045726	0.0120233269443586	0.0124338787861504	0.0111813152866751	0	0.0118207282856125	0	0	0.0258052965509695	0	0	0.0113824522977041	0.0234281371314721	0	0	0	0	0	0.0116700222863465	0	0	0	0.012530851093449	0	0.0123875752962777	0.0122564224140464	0.0122564224140464	0.0164992455653157	0.0229010322677896	0.0229749058351462	0	0.0111813152866751	0	0.0351070467923174	0	0	0.0108268466123074	0	0.0132901657108828	0	0	0	0	0	0	0.0122150585835114	0	0	0	0	0.0110603929036002	0	0.0113354471332113	0.0108268466123074	0	0.0119187220297087	0	0.0128036666143899	0.0116415618232348	0	0.0126887213166349	0	0	0.0265325248706486	0	0	0	0	0	0	0	0.0111604954878868	0.0114309266090944	0.0111604954878868	0	0	0	0	0	0	0	0	0.0113824522977041	0.0296158207996502	0.0234281371314721	0.0108436149023373	0	0.0227304151899467	0	0.0231174496012864	0.0119876690125493	0	0.0245978392802337	0	0.0116700222863465	0	0	0	0	0	0.0280718604057099	0.0372766758254919	0.0113124681689063	0.0115326713869923	0	0	0	0	0.0127451294137179	0	0	0	0.0230982157639476	0	0.02679174802218	0	0	0.0116415618232348	0	0.0112898246759384	0.0224368910607062	0	0	0	0	0	0	0	0	0	0.0225173882224856	0.0117586779425074	0	0	0	0.0129278169938871	0	0	0	0.011358771658779	0.0147527438581037	0	0	0	0	0.0222108391799703	0	0.0249317275341176	0	0.0113354471332113	0	0.0109663609795918	0.0119187220297087	0	0.0113354471332113	0	0.0140029241212585	0	0	0	0.0153301065139359	0	0	0	0.0246243949000024	1.25	8.35	2.55	6.507142857	46.626	155.1583333	15.26166667
mm9_chr10_118448128_118448311_+	1	0.0349602345120208	0	0.0515702463568147	0	0	0	0	0.0362644154104254	0.0167239385102808	0.0375497307720338	0	0.0165913233478385	0.0168935244870019	0	0	0	0	0	0.0177274598050684	0	0	0	0.0171403122397789	0.0332896054580735	0	0	0	0.0379073342399754	0	0	0	0	0	0.040729275062961	0.0365133151094931	0	0	0	0.0278224862356358	0	0.0188848740745887	0	0	0	0	0	0	0	0	0	0	0	0.0186897071223125	0.0567403414021049	0.0184521896699568	0	0	0	0.0176861858275249	0	0	0	0	0	0	0.0164413875645219	0.0172062385315898	0	0	0.0378425331112286	0.0164903211309313	0	0	0.0164172940185926	0	0	0.0242824999958072	0.0165656669477927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0353723716550499	0	0.0241541879966295	0	0	0	0.0169830896027843	0.0172740486844959	0	0	0.0164413875645219	0	0.01839634723727	0	0.0167239385102808	0	0	0.0177274598050684	0.0504216510481659	0	0.0365593979922082	0	0	0.0180863602184234	0	0.01839634723727	0.0214252390926359	0	0.0173795413358368	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186280622566858	0	0	0.0330303431115973	0	0	0	0	0.0344129478882758	0	0.0341859023757276	0	0	0	0	0	0	0	0.0175665036338209	0	0	0	0	0.0172399014206871	0	0	0	0	0.01959030957393	0	0	0	0.017044734468411	0.0167239385102808	0	0	0	0.0188848740745887	0	0.019414436987201	0.0330805699060142	0	0	0	0	0.0195007444581476	0	0	0	0	0	0.0210594096411025	0	0.0166968159991794	0	0	0.0260631206482062	0.0342846358890981	0	0	0	0	0.01823629600174	0	0	0	0.0197802664387344	0	0	0	0	0	0.0169830896027843	0	0	0	0.0366302448619589	0	0	0.0166434835549764	0.0164657282280533	0	0	0.0193311584814265	0.020334679776214	0	0.0339313299172346	0	0	0	0.0560866588590685	0	0	0	0	0.0164657282280533	0	0.0186280622566858	0.0177694643332995	0	0	0.0210594096411025	1.420765027	3.366120219	2.950819672	6.06010929	10.278	7.235	3.368333333
mm9_chr10_120944479_120944680_+	1	0	0	0.0466280443020541	0	0.0149911854016605	0	0.0149911854016605	0	0	0	0	0	0	0	0	0	0	0	0.0182974164441099	0	0.0362238823986133	0.0156960296516704	0	0	0.032497990315807	0	0.0170160020068815	0	0	0	0	0	0	0.104371436440078	0.0425056416262237	0	0.0154075125025276	0.0155469588885985	0.0449070734971269	0.018884975210667	0	0.0157586621258396	0.0340834870017145	0.0153279696896713	0	0.0169051741724977	0.0153020931041697	0	0	0	0.0163802478801098	0	0	0	0	0.0168518216083595	0	0	0	0	0	0	0	0	0	0.0321627158206827	0	0	0	0	0	0	0.0153541599383895	0.0165112376249971	0.0167489131563205	0	0.0165112376249971	0.0153541599383895	0.0151771641460452	0	0	0	0	0	0.0171328233792672	0	0	0	0	0	0	0	0.0167489131563205	0	0	0.0150362009687122	0	0	0.0152015787455215	0	0	0.0466805102781436	0	0.0626615253986254	0.0193336151626526	0	0	0	0	0	0.0158231644997917	0	0.0153020931041697	0.0398623568909141	0	0	0	0	0.0149470885840918	0	0	0	0.015013575955027	0	0	0	0	0	0.0299380489980846	0	0.0178359534926825	0.0171328233792672	0.0152512514863504	0	0	0	0	0	0	0	0	0	0.0163382918227124	0	0	0.0302110663945716	0	0	0	0	0	0	0.0879252490505955	0	0	0.0181969020854617	0	0	0.0156351617092972	0.0151291473018851	0	0	0	0.030310316891327	0.0191734923598098	0.0156960296516704	0.0842096126674148	0	0	0	0	0	0.0388401761275897	0.0158561524545132	0	0.0495337128749912	0.0187539854657797	0	0	0.0312095017873541	0.0166506840110679	0	0	0	0	0	0.0156653813496563	0.0153279696896713	0	0	0.0184028358424678	0	0.0799694697956843	0.0731119874240125	0.0149911854016605	0.0202516471357498	0	0.0228958208523779	0	0	0	0.0155183403369115	0.015013575955027	0.0332227895784382	0	0	0	0	0	0	0.0350535198535357	0	0	0	0	0	0	0	0.0149470885840918	0.0854267335419931	0.0470880889550111	0	0.0954403620892975	0	0.0157586621258396	0	0	0	0	0	0	0.0225751343388112	0.0154346910881073	0.0159933839054191	0	0	0	0	0.895522388	5.422885572	0.248756219	2.960199005	1.513846154	0.759798535	3.867485605
mm9_chr10_127782119_127782302_+	1	0	0.0169230055355631	0.035760884136043	0	0.0365133151094931	0.0169528574246424	0.0188180191214902	0	0	0	0	0	0	0.0225406488339251	0.0176057308722205	0	0	0	0	0.0177694643332995	0	0	0.0174157740074161	0	0	0	0	0.0242824999958072	0.0174899423527127	0	0.0190245139897383	0	0	0.0791920444169627	0.0732337634716067	0	0	0	0	0	0	0.0167791315534738	0	0.0173086944660861	0.0420238788665251	0	0	0	0.0205986397738892	0	0	0.0188180191214902	0	0	0.0176456174227205	0	0	0.0543412341286313	0	0	0.0185093778321326	0	0	0.0170137118843034	0.0328827751290438	0	0	0	0	0.0168644051782311	0	0	0.0185093778321326	0	0.0172399014206871	0	0	0	0	0	0	0.0239738587064495	0	0	0	0	0	0	0	0	0.0212352822278315	0	0	0.0169830896027843	0.0176861858275249	0	0.0181352937848329	0	0.0169230055355631	0.0176057308722205	0.0210594096411025	0	0	0	0.0199867613069825	0	0	0.0168644051782311	0.0208956761800236	0.0179914198027435	0	0	0.0168072170160553	0.0429071840399792	0	0	0	0.0188180191214902	0	0	0	0	0.0187529960433498	0	0	0	0.0180384152768524	0	0	0.0190245139897383	0.01959030957393	0.0369574366152498	0	0	0	0	0.0638958035482989	0	0.0172399014206871	0.0165151715557986	0.0366946354390412	0.0174525684481755	0	0	0	0.037379414244625	0	0.0367939783230378	0.0171403122397789	0	0	0	0	0.017044734468411	0.017900131860105	0	0	0	0	0	0	0	0	0.0366835773061619	0	0	0	0	0	0.0370428780221054	0	0	0	0	0.0177274598050684	0	0.0165402849530071	0	0	0	0	0	0.0171080233894482	0	0	0	0.0172062385315898	0	0	0	0.03367127767895	0.0173086944660861	0	0	0	0	0	0	0	0	0	0	0	0	0.0196833879307539	0	0	0	0	0.01959030957393	0	0.0193311584814265	0.0180863602184234	0	0	0	0	0	0.0196833879307539	0	0	0	0.0607351748859327	0	0	0	0.0176057308722205	0.0186280622566858	0	0.0179453369200284	0.0166434835549764	0.0480708585409032	0	0	0	0	0	0	1.267759563	3.442622951	2.087431694	2	35.984	28.38833333	8.933333334
mm9_chr10_128074096_128074249_+	1	0	0.0445856121468382	0.020702556126103	0	0	0	0	0	0	0	0	0	0	0	0	0.0207446091326743	0	0	0	0	0	0	0	0	0	0.0407482382804055	0	0	0.0211540654015494	0	0.0227548108504713	0	0	0	0	0	0.0446969411618629	0	0.0225078267923707	0.020136744494274	0.0225877905598021	0	0.045942407772075	0.027546863823459	0	0.0518419224722473	0.0458912617752649	0	0	0	0.0511747600300983	0.0251887056491618	0	0	0.0223543555776679	0	0.0234315467452888	0	0	0	0	0.0215191491758305	0	0	0	0	0	0	0	0	0	0	0.0204244361869824	0	0	0	0	0.0234315467452888	0	0	0	0	0	0	0	0	0	0	0	0.0200359578350094	0	0	0.0234315467452888	0	0	0	0	0	0	0	0.0233244198420981	0	0.0632285989000069	0	0.0253990630568181	0	0.0213569035305688	0	0	0.0203497338224021	0	0	0.0402054995286029	0.0202412419150853	0.0219382178007439	0.020787294538942	0	0	0	0	0	0	0.0197237174311139	0	0	0	0	0.0222806234834869	0	0	0	0.0218744280145402	0.026319425793466	0	0	0	0	0	0	0	0	0	0.0463184058708469	0	0	0.0421988795819453	0	0	0	0	0	0	0.0215753594487842	0	0	0.0253990630568181	0	0	0.0196943023904167	0	0.019906911703011	0	0	0.0667921124976672	0.0213048190229134	0	0.0227548108504713	0	0	0	0	0	0.0198445240042774	0.020830631655929	0	0.0202769471157487	0.0211055424075677	0	0	0	0	0	0.0228421570044451	0	0	0	0	0.0196363712771402	0	0	0	0	0	0	0.0243218718891972	0	0	0	0	0	0	0.0203868392661386	0	0	0	0	0.0228421570044451	0.0464423786752651	0	0	0	0	0.0241762745381439	0	0	0	0	0.0227548108504713	0	0.0241762745381439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.934640523	1.045751634	2.581699346	4.359477124	44.704	137.2133333	11.60666667
mm9_chr10_14034431_14034735_+	1	0	0.0117928508290434	0.0652696875427498	0.0174959169823171	0	0.0102051740418078	0.0110741169224356	0.0112136032663602	0	0	0	0	0	0	0	0	0.010298579869306	0	0	0.0120315043394006	0.0119680005394158	0	0	0	0	0.0205081593977041	0	0	0.021063825343334	0	0	0	0.0226792428132567	0.0722463175435782	0.0712169586652516	0	0.0243678396138294	0	0.0355466446512628	0	0.0214687928616297	0	0.0434846104413357	0.0213215439101694	0.0107224911529795	0.0293235286569182	0.0145782838024112	0	0	0	0.0290529348355214	0.0126772104089532	0.0112136032663602	0	0.0308003669475221	0	0.0232822161926348	0	0	0.022736394445064	0.0103377220512129	0.00998754004162646	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111421583660535	0.010298579869306	0.0101519281171588	0.0239995048788165	0.0104838376426222	0	0	0	0	0	0.009941698666813	0	0	0	0.0100838866735409	0.0107754083236816	0	0	0	0.0106466184422272	0.009941698666813	0.0118488815504209	0.0107754083236816	0	0	0	0	0	0	0	0	0	0.0112136032663602	0	0.023852095851131	0	0.0100349012939312	0.0202350046969613	0	0	0	0.0103779669736373	0.010671464290551	0	0.0115415733755452	0.0100838866735409	0	0.00992673936500142	0.0117928508290434	0.0102051740418078	0	0.0218302237503548	0	0.0111421583660535	0	0	0	0.023330176628805	0	0	0.0215301155920773	0	0.0107754083236816	0	0.019883397333626	0.0360232022902615	0	0.0256924660733573	0	0.0228901556409269	0	0	0	0	0	0.0114522567767175	0.0114096088255189	0.0213646382292108	0.0327025459721809	0.0331835500226179	0	0	0.009941698666813	0	0	0	0.0123181825490023	0.0448973171988815	0	0.0111077325973753	0	0.0106967499111638	0.0150284086705296	0	0.0357215995883723	0	0	0	0.0100349012939312	0	0	0.00995681627105362	0	0	0.0123998390744136	0	0	0	0	0	0.0103577028002662	0	0.0123181825490023	0.0117928508290434	0.0208499229959565	0.00997209556396732	0	0.0120315043394006	0.010887512894643	0	0.0120315043394006	0	0	0	0.0109169696138961	0	0	0	0	0	0	0.021244394660249	0.0105059869276846	0	0	0	0.0317264466035698	0	0	0	0	0	0	0.00988277896513964	0	0.0103779669736373	0	0.0319614639194406	0	0	0.0256623122139657	0	0	0	0	0	0.0497819961914199	0	0.0114522567767175	0.0104620265278228	0	0	0.0114096088255189	6.447368421	3.046052632	4.907894737	5.986842105	34.442	31.21666667	4.938333333
mm9_chr10_19041657_19041846_+	1	0	0	0	0.0160897280829572	0	0	0	0	0	0	0	0	0	0.0202323213806578	0.019689134386493	0	0	0	0	0.016596175343278	0	0	0	0.0161930198274147	0	0.0169714725423373	0	0	0.0172889219056986	0	0	0	0	0.0158961100814944	0.0168628922928949	0	0.0387235913366371	0	0	0	0	0	0	0.0191523214724254	0	0.0439093329836374	0.042075850822214	0	0	0	0.041725167448112	0	0	0	0.0180963830866835	0	0.0371890166733434	0	0	0	0	0	0	0	0.0186395700808483	0	0	0	0	0	0	0	0	0	0.018798105654274	0	0.015943006697004	0	0	0	0	0.0222998421428002	0	0	0	0	0	0	0	0	0.0159908803952971	0	0	0	0.0171247196107781	0	0	0	0	0	0	0	0	0	0	0.0198133729888714	0	0	0.0178123362138646	0.0170468187810389	0	0.0186395700808483	0	0	0	0	0.0166926029628875	0	0	0.0230505149392265	0	0.0166278703892525	0.0181576628356244	0.0159194387529498	0	0	0	0.018036695200918	0	0	0.0169347060875472	0	0.0327536523035171	0	0	0	0.0174657671728253	0	0	0	0	0	0.0391310790842092	0.0202323213806578	0	0	0	0	0	0	0	0	0	0.0167592121020834	0.0228505754636212	0.0185642238421467	0	0	0	0	0	0	0	0	0	0.0166926029628875	0	0	0.015943006697004	0.0203908569540834	0.02148402511842	0	0	0	0.0351291353779616	0	0	0	0	0	0	0	0.0350561814917943	0	0	0.0161667583484118	0	0	0.017375643684472	0	0	0	0.0180963830866835	0.0181576628356244	0	0	0	0	0	0	0	0.0181576628356244	0	0	0	0	0	0	0.0185642238421467	0	0	0	0	0.0178123362138646	0.0160151965418005	0	0.0169347060875472	0	0.017707870297485	0	0.0211871153724997	0	0	0	0	0	0	0	0	0	0	0.0327362617091689	0	0.0185642238421467	0	0	0	0.0199447147017023	5.052910053	5.798941799	7.608465608	26.74603175	37.008	42.17666667	9.628333333
